term,estimate,std.error,statistic,p.value,nct_id,model_n
sex,0.117,0.249,0.4686944403,0.6392880615,NCT00051558,1
como_cnt,0.155,0.077,2.0028822573,0.0451899279,NCT00051558,1
(Intercept),-0.54,0.459,-1.1772150329,0.23910969,NCT00051558,2
age_std,0.181,0.11,1.6503831886,0.0988645873,NCT00051558,2
sex,0.112,0.249,0.4484843041,0.6538037115,NCT00051558,2
como_cnt,0.069,0.311,0.2215094062,0.8246958134,NCT00051558,2
I(como_cnt^2),0.014,0.048,0.2852427052,0.7754582047,NCT00051558,2
(Intercept),-0.234,0.112,-2.0901690027,0.0366026209,NCT00051558,5
age_std,0.213,0.108,1.9626001199,0.0496926568,NCT00051558,5
sex,0.184,0.245,0.7484568039,0.4541846707,NCT00051558,5
(Intercept),-0.664,0.245,-2.7081767742,0.0067653976,NCT00051558,3
age_std,0.196,0.132,1.4788887815,0.1391700422,NCT00051558,3
I(age_std^2),0.019,0.094,0.2026010719,0.8394468521,NCT00051558,3
sex,0.116,0.249,0.4657463602,0.641397064,NCT00051558,3
como_cnt,0.155,0.077,1.9987566944,0.0456346855,NCT00051558,3
(Intercept),-0.55,0.461,-1.1930192431,0.2328618368,NCT00051558,4
age_std,0.197,0.133,1.4847119397,0.1376201475,NCT00051558,4
I(age_std^2),0.02,0.094,0.2101096176,0.8335821193,NCT00051558,4
sex,0.111,0.25,0.4450545841,0.6562803084,NCT00051558,4
como_cnt,0.067,0.311,0.215258725,0.8295656079,NCT00051558,4
I(como_cnt^2),0.014,0.048,0.2905918568,0.7713634888,NCT00051558,4
(Intercept),-2.399,0.463,-5.1755024703,2.2729842314869033e-7,NCT00125918,1
age_std,0.242,0.256,0.9450812202,0.3446174122,NCT00125918,1
sex,0.555,0.531,1.0442101324,0.2963881801,NCT00125918,1
como_cnt,0.197,0.136,1.4478200552,0.1476673824,NCT00125918,1
(Intercept),-2.633,0.599,-4.3926159629,1.1199485825152212e-5,NCT00125918,2
age_std,0.21,0.259,0.8104259608,0.4176954022,NCT00125918,2
sex,0.57,0.532,1.072877341,0.2833261538,NCT00125918,2
como_cnt,0.442,0.403,1.0968760548,0.2726955775,NCT00125918,2
